[00: 20: 59] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/get_receipt HTTP/1.1 [status]: 200 [response-time]: 8.733 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
[00: 20: 59] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/account/get_account_user HTTP/1.1 [status]: 200 [response-time]: 0.494 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
[00: 20: 59] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/get_receipt HTTP/1.1 [status]: 304 [response-time]: 26.521 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
[00: 20: 59] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/account/get_account_user HTTP/1.1 [status]: 304 [response-time]: 2.319 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
[00: 20: 59] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/account/image/account_1.png HTTP/1.1 [status]: 304 [response-time]: 15.306 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
[00: 20: 59] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/delete_receipt HTTP/1.1 [status]: 200 [response-time]: 0.139 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
[00: 27: 26] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/get_receipt HTTP/1.1 [status]: 200 [response-time]: 4.683 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
[00: 27: 26] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/account/get_account_user HTTP/1.1 [status]: 200 [response-time]: 0.884 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
[00: 27: 26] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/get_receipt HTTP/1.1 [status]: 304 [response-time]: 28.279 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
[00: 27: 26] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/account/get_account_user HTTP/1.1 [status]: 304 [response-time]: 13.750 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
[00: 27: 26] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/account/image/account_1.png HTTP/1.1 [status]: 304 [response-time]: 6.404 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
[00: 27: 26] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/delete_receipt HTTP/1.1 [status]: 200 [response-time]: 0.152 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
[00: 39: 22] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/get_receipt HTTP/1.1 [status]: 200 [response-time]: 5.908 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
[00: 39: 22] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/account/get_account_user HTTP/1.1 [status]: 200 [response-time]: 1.260 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
[00: 39: 22] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/get_receipt HTTP/1.1 [status]: 304 [response-time]: 22.361 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
[00: 39: 22] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/account/get_account_user HTTP/1.1 [status]: 304 [response-time]: 1.080 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
[00: 39: 22] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/account/image/account_1.png HTTP/1.1 [status]: 304 [response-time]: 3.709 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
[00: 39: 22] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/delete_receipt HTTP/1.1 [status]: 200 [response-time]: 0.139 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
[00: 45: 19] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/get_receipt HTTP/1.1 [status]: 200 [response-time]: 5.238 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
[00: 45: 19] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/account/get_account_user HTTP/1.1 [status]: 200 [response-time]: 0.450 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
[00: 45: 19] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/get_receipt HTTP/1.1 [status]: 304 [response-time]: 18.850 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
[00: 45: 19] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/account/get_account_user HTTP/1.1 [status]: 304 [response-time]: 7.636 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
[00: 45: 19] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/account/image/account_1.png HTTP/1.1 [status]: 304 [response-time]: 4.210 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
