[12: 38: 52] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/register HTTP/1.1 [status]: 500 [response-time]: 2.674 ms [client]: PostmanRuntime/7.21.0
[12: 43: 29] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/register HTTP/1.1 [status]: 200 [response-time]: 97.831 ms [client]: PostmanRuntime/7.21.0
[12: 44: 32] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/register HTTP/1.1 [status]: 200 [response-time]: 118.109 ms [client]: PostmanRuntime/7.21.0
[12: 44: 32] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/register HTTP/1.1 [status]: 200 [response-time]: 93.269 ms [client]: PostmanRuntime/7.21.0
[12: 44: 32] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/register HTTP/1.1 [status]: 200 [response-time]: 84.883 ms [client]: PostmanRuntime/7.21.0
[12: 52: 28] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/login HTTP/1.1 [status]: 200 [response-time]: 1.883 ms [client]: PostmanRuntime/7.21.0
[12: 53: 58] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/login HTTP/1.1 [status]: 200 [response-time]: 86.516 ms [client]: PostmanRuntime/7.21.0
[12: 56: 12] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/login HTTP/1.1 [status]: 200 [response-time]: 94.865 ms [client]: PostmanRuntime/7.21.0
[12: 56: 12] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/register HTTP/1.1 [status]: 200 [response-time]: 84.591 ms [client]: PostmanRuntime/7.21.0
[12: 56: 12] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/login HTTP/1.1 [status]: 200 [response-time]: 67.552 ms [client]: PostmanRuntime/7.21.0
[13: 01: 16] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/login HTTP/1.1 [status]: 200 [response-time]: 3.125 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36
[13: 01: 16] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/login HTTP/1.1 [status]: 200 [response-time]: 1.298 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36
[13: 01: 16] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/login HTTP/1.1 [status]: 200 [response-time]: 0.225 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36
[13: 01: 16] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/login HTTP/1.1 [status]: 200 [response-time]: 0.177 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36
[13: 01: 16] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/login HTTP/1.1 [status]: 200 [response-time]: 0.130 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36
[13: 01: 16] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/login HTTP/1.1 [status]: 200 [response-time]: 107.265 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36
[13: 01: 16] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/login HTTP/1.1 [status]: 200 [response-time]: 0.197 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36
[13: 01: 16] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/login HTTP/1.1 [status]: 200 [response-time]: 73.949 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36
[13: 01: 16] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/login HTTP/1.1 [status]: 200 [response-time]: 0.166 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36
[13: 01: 16] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/login HTTP/1.1 [status]: 200 [response-time]: 71.253 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36
[13: 01: 16] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/login HTTP/1.1 [status]: 200 [response-time]: 71.596 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36
