[16: 30: 44] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 18.878 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[16: 38: 07] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 4.335 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[16: 38: 07] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.746 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[16: 38: 07] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.813 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[16: 38: 07] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.655 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[16: 38: 07] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.518 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[16: 38: 07] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.588 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[16: 38: 07] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.613 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[16: 38: 07] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.627 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[16: 38: 07] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.671 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[16: 38: 07] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 1.092 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
