[00: 05: 20] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/update_password HTTP/1.1 [status]: 200 [response-time]: 2.875 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 05: 20] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/update_password HTTP/1.1 [status]: 200 [response-time]: 207.644 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 05: 20] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/update_password HTTP/1.1 [status]: 200 [response-time]: 0.182 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 05: 20] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/update_password HTTP/1.1 [status]: - [response-time]: - ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 05: 20] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/profile HTTP/1.1 [status]: 200 [response-time]: 1.405 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 05: 20] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/user/profile HTTP/1.1 [status]: 200 [response-time]: 28.923 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 05: 20] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/update_password HTTP/1.1 [status]: 200 [response-time]: 0.169 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 05: 20] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/update_password HTTP/1.1 [status]: 200 [response-time]: 153.936 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 05: 20] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/profile HTTP/1.1 [status]: 200 [response-time]: 0.285 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 05: 20] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/user/profile HTTP/1.1 [status]: 200 [response-time]: 2.095 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 05: 20] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/update_password HTTP/1.1 [status]: 200 [response-time]: 0.220 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 05: 20] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/update_password HTTP/1.1 [status]: - [response-time]: - ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 05: 20] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/profile HTTP/1.1 [status]: 200 [response-time]: 0.193 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 05: 20] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/user/profile HTTP/1.1 [status]: 200 [response-time]: 3.417 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 05: 20] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/update_password HTTP/1.1 [status]: 200 [response-time]: 0.169 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 05: 20] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/update_password HTTP/1.1 [status]: 200 [response-time]: 153.921 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 05: 20] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/profile HTTP/1.1 [status]: 200 [response-time]: 0.135 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 05: 20] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/user/profile HTTP/1.1 [status]: 200 [response-time]: 1.716 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 05: 20] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/user/image/user_1.png HTTP/1.1 [status]: 304 [response-time]: 14.315 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 05: 20] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/profile HTTP/1.1 [status]: 200 [response-time]: 0.181 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 05: 20] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/user/profile HTTP/1.1 [status]: 304 [response-time]: 5.156 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 05: 20] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/user/image/user_1.png HTTP/1.1 [status]: 304 [response-time]: 2.810 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 05: 20] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/register HTTP/1.1 [status]: 200 [response-time]: 0.217 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 30: 29] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/register HTTP/1.1 [status]: 200 [response-time]: 2.515 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 30: 29] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/register HTTP/1.1 [status]: 200 [response-time]: 106.709 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 36: 35] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/register_admin HTTP/1.1 [status]: 200 [response-time]: 2.753 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 36: 35] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/register_admin HTTP/1.1 [status]: 200 [response-time]: 98.323 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 36: 35] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/list_product HTTP/1.1 [status]: 200 [response-time]: 0.608 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
